#ID,TPM,SEBE_PEDROS_CELLS,TOP_HSAP_BLAST,TOPHIT_DESCRIPTION,BLAST_E-VALUE
ML101010a,34247.07,
ML26358a,20648.86,ACTB,actin, cytoplasmic 1 [Homo sapiens],0.0
ML03977a,17081.55,MYL12B,myosin regulatory light chain 12B [Homo sapiens],1.51e-54
ML077224a,15121.51,TPM3,tropomyosin alpha-3 chain isoform Tpm3.12st [Homo sapiens],1.24e-18
ML29622a,13128.12,RPL30,60S ribosomal protein L30 [Homo sapiens],3.41e-62
ML20395a,12022.54,EEF1A2,elongation factor 1-alpha 2 [Homo sapiens],0.0
ML08063a,11068.16,RPL35A,60S ribosomal protein L35a [Homo sapiens],7.25e-41
ML00501a,10735.04,TAGLN3,transgelin-3 [Homo sapiens],2.24e-49
ML10942a,9746.84,TUBA1C,tubulin alpha-1C chain isoform c [Homo sapiens],0.0
ML276923a,9580.98,
ML463530a,9134.74,RPL37A,60S ribosomal protein L37a [Homo sapiens],3.83e-46
ML01737a,9058.88,RPLP0,60S acidic ribosomal protein P0 [Homo sapiens],7.74e-131
ML149631a,9046.87,CALM3,calmodulin-3 isoform 1 [Homo sapiens],1.29e-56
ML00976a,7168.94,RPL11,60S ribosomal protein L11 isoform 1 [Homo sapiens],1.46e-92
ML21632a,7153.48,
ML013518a,7124.35,RPL37,60S ribosomal protein L37 [Homo sapiens],1.96e-35
ML001917a,6862.52,RPS21,40S ribosomal protein S21 [Homo sapiens],4.62e-27
ML173715a,6648.31,RPL12,60S ribosomal protein L12 [Homo sapiens],7.59e-89
ML00365a,6600.89,RPS15,40S ribosomal protein S15 isoform 2 [Homo sapiens],8.88e-72
ML012410a,6579.57,RPL29,60S ribosomal protein L29 [Homo sapiens],2.87e-16
ML01249a,6574.30,RPS2,40S ribosomal protein S2 [Homo sapiens],6.89e-138
ML148514a,6555.80,MYL6,myosin light polypeptide 6 isoform 1 [Homo sapiens],1.09e-38
ML043315a,6497.26,RPL15,60S ribosomal protein L15 isoform 1 [Homo sapiens],9.51e-66
ML43437a,6462.44,RPS28,40S ribosomal protein S28 [Homo sapiens],5.46e-35
ML00977a,6377.12,RPL9,60S ribosomal protein L9 [Homo sapiens],2.23e-71
ML009129a,6330.33,RPL26,60S ribosomal protein L26 [Homo sapiens],1.77e-65
ML03311a,6321.53,RPS20,40S ribosomal protein S20 isoform 2 [Homo sapiens],3.11e-55
ML03874a,6316.01,UBA52,ubiquitin-60S ribosomal protein L40 isoform 1 precursor [Homo sapiens],6.52e-78
ML034637a,6276.99,RPS16,40S ribosomal protein S16 isoform 1 [Homo sapiens],1.99e-66
ML053618a,6124.31,RPLP2,60S acidic ribosomal protein P2 [Homo sapiens],2.06e-25
ML03315a,6060.01,RPL13A,60S ribosomal protein L13a isoform 1 [Homo sapiens],3.74e-89
ML021138a,5954.75,RPL28,60S ribosomal protein L28 isoform 2 [Homo sapiens],1.38e-21
ML174735a,5936.96,ACTG1,actin, cytoplasmic 2 [Homo sapiens],0.0
ML22072a,5841.67,RPS17,40S ribosomal protein S17 [Homo sapiens],4.46e-66
ML148534a,5823.75,RPL8,60S ribosomal protein L8 [Homo sapiens],1.00e-140
ML034635a,5774.39,RPS19,40S ribosomal protein S19 isoform 1 [Homo sapiens],2.04e-16
ML05081a,5755.63,RPL27A,60S ribosomal protein L27a [Homo sapiens],2.63e-75
ML221324a,5721.21,RPL22,60S ribosomal protein L22 [Homo sapiens],6.64e-33
ML073267a,5666.21,
ML14587a,5647.03,RPS27L,40S ribosomal protein S27-like [Homo sapiens],9.43e-44
ML148532a,5642.99,RPS27A,ubiquitin-40S ribosomal protein S27a precursor [Homo sapiens],1.26e-82
ML00748a,5549.18,RPS4X,40S ribosomal protein S4, X isoform [Homo sapiens],7.79e-139
ML08065a,5513.43,RPL39,60S ribosomal protein L39 [Homo sapiens],6.73e-23
ML193210a,5511.76,RPL36,60S ribosomal protein L36 [Homo sapiens],1.72e-32
ML154196a,5365.95,RPL32,60S ribosomal protein L32 [Homo sapiens],2.63e-68
