#ID,TPM,SEBE_PEDROS_CELLS,TOP_HSAP_BLAST,TOPHIT_DESCRIPTION,BLAST_E-VALUE
ML26358a,63558.36,ACTB,actin, cytoplasmic 1 [Homo sapiens],0.0
ML20395a,13489.24,EEF1A2,elongation factor 1-alpha 2 [Homo sapiens],0.0
ML01737a,10974.16,RPLP0,60S acidic ribosomal protein P0 [Homo sapiens],7.74e-131
ML06033a,9896.74,PRDX6,peroxiredoxin-6 [Homo sapiens],3.20e-93
ML08063a,9330.55,RPL35A,60S ribosomal protein L35a [Homo sapiens],7.25e-41
ML463530a,8734.07,RPL37A,60S ribosomal protein L37a [Homo sapiens],3.83e-46
ML07216a,8667.90,
ML30771a,8449.93,TXN,thioredoxin isoform 1 [Homo sapiens],2.67e-08
ML01167a,8419.47,
ML21632a,8169.21,
ML00365a,7570.02,RPS15,40S ribosomal protein S15 isoform 2 [Homo sapiens],8.88e-72
ML13972a,7542.17,RPL23A,60S ribosomal protein L23a [Homo sapiens],2.85e-61
ML22151a,7465.42,
ML00977a,7302.53,RPL9,60S ribosomal protein L9 [Homo sapiens],2.23e-71
ML001917a,7004.30,RPS21,40S ribosomal protein S21 [Homo sapiens],4.62e-27
ML07395a,6705.05,RPL4,60S ribosomal protein L4 [Homo sapiens],3.21e-141
ML009129a,6630.43,RPL26,60S ribosomal protein L26 [Homo sapiens],1.77e-65
ML03311a,6389.89,RPS20,40S ribosomal protein S20 isoform 2 [Homo sapiens],3.11e-55
ML00976a,6247.06,RPL11,60S ribosomal protein L11 isoform 1 [Homo sapiens],1.46e-92
ML03315a,6221.92,RPL13A,60S ribosomal protein L13a isoform 1 [Homo sapiens],3.74e-89
ML034635a,6201.53,RPS19,40S ribosomal protein S19 isoform 1 [Homo sapiens],2.04e-16
ML22072a,6163.24,RPS17,40S ribosomal protein S17 [Homo sapiens],4.46e-66
ML18558a,6156.05,HSPA2,heat shock-related 70 kDa protein 2 [Homo sapiens],0.0
ML04142a,6060.79,RPS10,40S ribosomal protein S10 [Homo sapiens],6.33e-49
ML358815a,6043.44,RPL31,60S ribosomal protein L31 isoform 1 [Homo sapiens],2.85e-54
ML100010a,5779.31,RPS18,40S ribosomal protein S18 [Homo sapiens],8.97e-90
ML07727a,5625.79,RPL3L,60S ribosomal protein L3-like [Homo sapiens],0.0
ML01776a,5451.92,RPS23,40S ribosomal protein S23 [Homo sapiens],2.46e-90
ML154196a,5424.17,RPL32,60S ribosomal protein L32 [Homo sapiens],2.63e-68
ML10942a,5361.85,TUBA1C,tubulin alpha-1C chain isoform c [Homo sapiens],0.0
ML053619a,5278.19,RPLP2,60S acidic ribosomal protein P2 [Homo sapiens],2.06e-25
ML051212a,5263.91,RPL19,60S ribosomal protein L19 isoform 1 [Homo sapiens],5.60e-85
ML053618a,5191.25,RPLP2,60S acidic ribosomal protein P2 [Homo sapiens],2.06e-25
ML08065a,5042.11,RPL39,60S ribosomal protein L39 [Homo sapiens],6.73e-23
ML173715a,5034.77,RPL12,60S ribosomal protein L12 [Homo sapiens],7.59e-89
ML21094a,4971.70,RPL34,60S ribosomal protein L34 [Homo sapiens],2.28e-40
ML221324a,4947.52,RPL22,60S ribosomal protein L22 [Homo sapiens],6.64e-33
ML001922a,4909.45,RPL10L,60S ribosomal protein L10-like [Homo sapiens],3.89e-116
ML29622a,4854.23,RPL30,60S ribosomal protein L30 [Homo sapiens],3.41e-62
