#ID,TPM,SEBE_PEDROS_CELLS,TOP_HSAP_BLAST,TOPHIT_DESCRIPTION,BLAST_E-VALUE
ML276923a,37754.06,
ML101010a,16880.20,
ML00807a,15909.73,HEBP2,heme-binding protein 2 isoform 2 [Homo sapiens],3.11e-11
ML26358a,13350.94,ACTB,actin, cytoplasmic 1 [Homo sapiens],0.0
ML055112a,10400.60,
ML13937a,10021.80,
ML41825a,9845.98,
ML10436a,9743.31,
ML20395a,9594.27,EEF1A2,elongation factor 1-alpha 2 [Homo sapiens],0.0
ML08063a,8476.02,RPL35A,60S ribosomal protein L35a [Homo sapiens],7.25e-41
ML29622a,7937.09,RPL30,60S ribosomal protein L30 [Homo sapiens],3.41e-62
ML014810a,7728.99,
ML463530a,7386.12,RPL37A,60S ribosomal protein L37a [Homo sapiens],3.83e-46
ML10942a,6620.51,TUBA1C,tubulin alpha-1C chain isoform c [Homo sapiens],0.0
ML005344a,6576.47,
ML22151a,6377.68,
ML14587a,6173.68,RPS27L,40S ribosomal protein S27-like [Homo sapiens],9.43e-44
ML013518a,6103.67,RPL37,60S ribosomal protein L37 [Homo sapiens],1.96e-35
ML221324a,6003.68,RPL22,60S ribosomal protein L22 [Homo sapiens],6.64e-33
ML01737a,5909.28,RPLP0,60S acidic ribosomal protein P0 [Homo sapiens],7.74e-131
ML00365a,5538.84,RPS15,40S ribosomal protein S15 isoform 2 [Homo sapiens],8.88e-72
ML009129a,5536.83,RPL26,60S ribosomal protein L26 [Homo sapiens],1.77e-65
ML00977a,5508.50,RPL9,60S ribosomal protein L9 [Homo sapiens],2.23e-71
ML001917a,5507.71,RPS21,40S ribosomal protein S21 [Homo sapiens],4.62e-27
ML05081a,5393.75,RPL27A,60S ribosomal protein L27a [Homo sapiens],2.63e-75
ML193210a,5389.65,RPL36,60S ribosomal protein L36 [Homo sapiens],1.72e-32
ML22072a,5344.89,RPS17,40S ribosomal protein S17 [Homo sapiens],4.46e-66
ML43437a,5191.62,RPS28,40S ribosomal protein S28 [Homo sapiens],5.46e-35
ML148534a,5171.19,RPL8,60S ribosomal protein L8 [Homo sapiens],1.00e-140
ML08065a,5153.45,RPL39,60S ribosomal protein L39 [Homo sapiens],6.73e-23
ML00976a,5102.86,RPL11,60S ribosomal protein L11 isoform 1 [Homo sapiens],1.46e-92
ML21632a,5098.12,
ML034635a,5081.74,RPS19,40S ribosomal protein S19 isoform 1 [Homo sapiens],2.04e-16
ML078933a,4842.74,
ML358815a,4820.49,RPL31,60S ribosomal protein L31 isoform 1 [Homo sapiens],2.85e-54
ML020045a,4693.96,TUBB4B,tubulin beta-4B chain [Homo sapiens],0.0
ML06033a,4692.41,PRDX6,peroxiredoxin-6 [Homo sapiens],3.20e-93
ML043315a,4588.54,RPL15,60S ribosomal protein L15 isoform 1 [Homo sapiens],9.51e-66
ML01249a,4435.43,RPS2,40S ribosomal protein S2 [Homo sapiens],6.89e-138
ML03874a,4392.03,UBA52,ubiquitin-60S ribosomal protein L40 isoform 1 precursor [Homo sapiens],6.52e-78
ML154196a,4366.41,RPL32,60S ribosomal protein L32 [Homo sapiens],2.63e-68
ML148539a,4361.21,RPS25,40S ribosomal protein S25 [Homo sapiens],9.52e-32
ML04144a,4338.44,LOC101929876,,1.38e-55
ML034637a,4335.70,RPS16,40S ribosomal protein S16 isoform 1 [Homo sapiens],1.99e-66
ML019241a,4323.07,
ML21094a,4268.77,RPL34,60S ribosomal protein L34 [Homo sapiens],2.28e-40
ML13972a,4244.52,RPL23A,60S ribosomal protein L23a [Homo sapiens],2.85e-61
ML073267a,4232.23,
ML04142a,4181.65,RPS10,40S ribosomal protein S10 [Homo sapiens],6.33e-49
ML012410a,4120.26,RPL29,60S ribosomal protein L29 [Homo sapiens],2.87e-16
ML00748a,4095.14,RPS4X,40S ribosomal protein S4, X isoform [Homo sapiens],7.79e-139
ML03311a,4060.90,RPS20,40S ribosomal protein S20 isoform 2 [Homo sapiens],3.11e-55
ML434311a,4058.38,PPIF,peptidyl-prolyl cis-trans isomerase F, mitochondrial precursor [Homo sapiens],1.16e-89
ML18558a,4052.70,HSPA2,heat shock-related 70 kDa protein 2 [Homo sapiens],0.0
ML021138a,4044.73,RPL28,60S ribosomal protein L28 isoform 2 [Homo sapiens],1.38e-21
ML102253a,4022.70,RPS8,40S ribosomal protein S8 [Homo sapiens],3.30e-96
ML100010a,4010.20,RPS18,40S ribosomal protein S18 [Homo sapiens],8.97e-90
ML03315a,3992.50,RPL13A,60S ribosomal protein L13a isoform 1 [Homo sapiens],3.74e-89
ML001922a,3949.76,RPL10L,60S ribosomal protein L10-like [Homo sapiens],3.89e-116
ML053619a,3826.04,RPLP2,60S acidic ribosomal protein P2 [Homo sapiens],2.06e-25
ML019148a,3806.23,RPL23,60S ribosomal protein L23 [Homo sapiens],1.86e-82
ML053618a,3673.40,RPLP2,60S acidic ribosomal protein P2 [Homo sapiens],2.06e-25
ML001918a,3645.77,RPL27,60S ribosomal protein L27 [Homo sapiens],9.04e-62
ML148532a,3610.80,RPS27A,ubiquitin-40S ribosomal protein S27a precursor [Homo sapiens],1.26e-82
ML051212a,3531.20,RPL19,60S ribosomal protein L19 isoform 1 [Homo sapiens],5.60e-85
ML006118a,3434.59,RPS3A,40S ribosomal protein S3a isoform 1 [Homo sapiens],2.14e-128
ML13373a,3415.19,RPS5,40S ribosomal protein S5 [Homo sapiens],3.87e-125
ML165814a,3402.04,RPL18A,60S ribosomal protein L18a [Homo sapiens],6.15e-76
ML13973a,3356.55,RPL5,60S ribosomal protein L5 [Homo sapiens],9.50e-126
ML148514a,3207.70,MYL6,myosin light polypeptide 6 isoform 1 [Homo sapiens],1.09e-38
ML03312a,3189.18,RPL17-C18orf32,,2.69e-82
ML173715a,3184.23,RPL12,60S ribosomal protein L12 [Homo sapiens],7.59e-89
ML033619a,3160.32,RPS12,40S ribosomal protein S12 [Homo sapiens],1.05e-49
ML02402a,3106.46,RPL35,60S ribosomal protein L35 [Homo sapiens],2.18e-48
ML07727a,3084.73,RPL3L,60S ribosomal protein L3-like [Homo sapiens],0.0
ML02735a,3078.38,PSAP,prosaposin isoform a preproprotein [Homo sapiens],0.001
ML03977a,3059.58,MYL12B,myosin regulatory light chain 12B [Homo sapiens],1.51e-54
ML07395a,3039.11,RPL4,60S ribosomal protein L4 [Homo sapiens],3.21e-141
ML079733a,2980.03,ATP5G1,,2.06e-43
ML148538a,2978.57,RPL7A,60S ribosomal protein L7a [Homo sapiens],2.56e-105
ML21315a,2969.77,RPS3,40S ribosomal protein S3 isoform 1 [Homo sapiens],1.40e-137
ML03873a,2939.40,RPL18,60S ribosomal protein L18 isoform 1 [Homo sapiens],6.62e-64
ML04796a,2916.18,RPS13,40S ribosomal protein S13 [Homo sapiens],2.81e-90
ML01824a,2911.82,FAU,ubiquitin-like protein fubi and ribosomal protein S30 precursor [Homo sapiens],2.36e-38
ML09539a,2894.92,SLC25A5,ADP/ATP translocase 2 [Homo sapiens],2.41e-96
ML01776a,2764.69,RPS23,40S ribosomal protein S23 [Homo sapiens],2.46e-90
ML01504a,2684.82,RPS12,40S ribosomal protein S12 [Homo sapiens],1.07e-49
ML00958a,2639.69,RPS6,40S ribosomal protein S6 [Homo sapiens],1.10e-77
ML148533a,2624.53,RPL13,60S ribosomal protein L13 isoform 1 [Homo sapiens],1.29e-89
ML147310a,2601.32,
ML013517a,2562.20,RPS7,40S ribosomal protein S7 [Homo sapiens],8.68e-81
ML03028a,2536.69,RPL10A,60S ribosomal protein L10a [Homo sapiens],1.44e-91
ML11636a,2496.18,RPS23,40S ribosomal protein S23 [Homo sapiens],2.46e-90
ML43662a,2453.65,RPS15A,40S ribosomal protein S15a [Homo sapiens],1.04e-79
ML154192a,2431.82,RPS14,40S ribosomal protein S14 [Homo sapiens],1.11e-86
ML06904a,2357.74,RPL6,60S ribosomal protein L6 isoform 1 [Homo sapiens],2.70e-63
ML077224a,2334.71,TPM3,tropomyosin alpha-3 chain isoform Tpm3.12st [Homo sapiens],1.24e-18
ML00985a,2304.98,RPL34,60S ribosomal protein L34 [Homo sapiens],5.26e-38
ML320917a,2288.31,RPS9,40S ribosomal protein S9 isoform a [Homo sapiens],9.55e-102
ML173716a,2282.65,RPL7,60S ribosomal protein L7 isoform 1 [Homo sapiens],8.13e-98
ML03027a,2261.92,RPL24,60S ribosomal protein L24 [Homo sapiens],3.33e-49
ML13537a,2201.70,RPL22L1,60S ribosomal protein L22-like 1 isoform 1 [Homo sapiens],8.45e-33
ML17595a,2158.51,YWHAZ,14-3-3 protein zeta/delta [Homo sapiens],8.93e-104
ML10374a,2147.45,TUBA1A,tubulin alpha-1A chain isoform 1 [Homo sapiens],0.0
